obstacle_name,obstacle_order,location
Circuit Board,9,Daytona Beach
Floating Stairs,9,Miami
The Clacker,9,Atlanta
Rope Ladder,9,Las Vegas
Helix Hang,9,Los Angeles
Clear Climb,9,Venice
Spinball Wizard,9,San Antonio
Rope Ladder,9,Sasuke 26 (Japan)
Rope Ladder,9,Las Vegas
Crazy Cliffhanger,9,St. Louis
Ninjago Roll,9,Denver
Rope Ladder,9,Sasuke 23 (Japan)
Rope Ladder,9,Las Vegas
Doorknob Arch,9,Denver
Iron Maiden,9,Kansas City
Pole Grasper,9,Dallas
Spinball Wizard,9,Philadelphia
Doorknob Arch,9,Pittsburgh
Baton Pass,9,Los Angeles
Body Prop,9,Baltimore
Iron Maiden,9,Minneapolis
Double Helix,9,Orlando
Circuit Board,9,Indianapolis
Rope Ladder,9,Las Vegas
Cargo Climb,9,Venice
Cycle Road,9,Southeast
Rope Ladder,9,Las Vegas
Cargo Climb,9,Mid-South
Cargo Climb,9,Northwest
Cycle Road,9,Northeast
Cliffhanger,9,Venice
Cargo Climb,9,Midwest
Cargo Climb,9,Southwest
Spider Trap,10,Philadelphia
Cargo Climb,10,Northeast
Spider Trap,10,Miami
Spider Climb,10,Venice
Elevator Climb,10,Denver
Cargo Climb,10,Southeast
Spider Trap,10,Dallas
Invisible Ladder,10,Pittsburgh
Invisible Ladder,10,Indianapolis
Spider Climb,10,Baltimore
Elevator Climb,10,Cleveland
Spider Climb,10,Denver
Spider Trap,10,Los Angeles
Spider Climb,10,Miami
Elevator Climb,10,San Antonio
Invisible Ladder,10,Orlando
Invisible Ladder,10,Philadelphia
Invisible Ladder,10,Venice
Invisible Ladder,10,Los Angeles
Spider Climb,10,Miami
Elevator Climb,10,Daytona Beach
Spider Climb,10,Denver
Spider Trap,10,Indianapolis
Spider Climb,10,St. Louis
Invisible Ladder,10,San Pedro (Military)
Invisible Ladder,10,Kansas City
Elevator Climb,10,Los Angeles
Invisible Ladder,10,Houston
Invisible Ladder,10,Oklahoma City
Spider Climb,10,Venice
Invisible Ladder,10,Atlanta
Spider Climb,10,Dallas
Elevator Climb,10,Kansas City
Spider Trap,10,Minneapolis
